distances,30 cm,60 cm,90 cm,120 cm
measurement,blackout times in s,blackout times in s,blackout times in s,blackout times in s
1,0.335,0.202,0.156,0.133
2,0.334,0.201,0.157,0.132
3,0.333,0.201,0.156,0.133
mean t in s,0.334,0.201,0.156,0.133
u(t) in s ,0.003,0.001,0.001,0.001
v in m/s,29.94,49.751,64.1,75.188
u(v) in m/s,0.402,0.556,0.761,0.941
v^2,896.411,2475.19,4109.14,5653.23
u(v^2),0.162,0.309,0.58,0.885
