distances,30 cm,60 cm,90 cm,120 cm
measurement,blackout times in s,blackout times in s,blackout times in s,blackout times in s
1,0.248,0.15,0.117,0.1
2,0.245,0.15,0.117,0.1
3,0.244,0.15,0.116,0.1
mean t in s,0.246,0.15,0.117,0.1
u(t) in s ,0.005,0,0.001,0
v in m/s,40.65,66.667,85.47,100
u(v) in m/s,0.921,0.667,1.124,1
v^2,1652.46,4444.44,7305.14,10000
u(v^2),0.848,0.444,1.264,1
