G.U.N.T. Gerдtebau GmbH
CE310.02



lambda0	0.00mS/cm
lambda_inf	0.00mS/cm
c0	0.00mol/l
k	0.00l/mol/s
T2_m	NaN°C
T3_m	0.00°C

Time	lambda1	lambda2
1584.24	0.00	0.24
1584.73	0.00	0.24
1585.22	0.00	0.24
1585.72	0.00	0.24
1586.22	0.00	0.24
1586.72	0.00	0.24
1587.22	0.00	0.24
1587.71	0.00	0.29
1588.22	0.00	0.24
1588.72	0.00	0.24
1589.22	0.00	0.29
1589.72	0.05	0.24
1590.22	0.05	0.24
1590.72	0.00	0.24
1591.22	0.05	0.24
1591.72	0.00	0.24
1592.22	0.05	0.24
1592.72	0.00	0.24
1593.22	0.00	0.24
